time,species,N
1,Annual,10
2,Annual,745.8382316251095
3,Annual,24603.030585806107
4,Annual,43484.41767588827
5,Annual,44784.83519023804
6,Annual,44928.262508314074
7,Annual,44965.74420975345
8,Annual,44979.23392150482
9,Annual,44984.35381821102
10,Annual,44986.30999423597
11,Annual,44987.0578175411
12,Annual,44987.34368105752
13,Annual,44987.45294761993
14,Annual,44987.49471148772
15,Annual,44987.510674240795
16,Annual,44987.516775399614
17,Annual,44987.51910733177
18,Annual,44987.51999862176
19,Annual,44987.52033928248
20,Annual,44987.520469486735
21,Annual,44987.5205192521
22,Annual,44987.52053827304
23,Annual,44987.520545542975
24,Annual,44987.52054832174
25,Annual,44987.52054938369
26,Annual,44987.52054978965
27,Annual,44987.5205499448
28,Annual,44987.52055000409
29,Annual,44987.52055002676
30,Annual,44987.52055003535
31,Annual,44987.52055003865
32,Annual,44987.52055003988
33,Annual,44987.52055004047
34,Annual,44987.52055004079
35,Annual,44987.52055004069
36,Annual,44987.520550040834
37,Annual,44987.520550040805
38,Annual,44987.52055004076
39,Annual,44987.52055004076
40,Annual,44987.520550040725
41,Annual,44987.520550040725
42,Annual,44987.520550040725
43,Annual,44987.520550040725
44,Annual,44987.520550040725
45,Annual,44987.520550040725
46,Annual,44987.520550040725
47,Annual,44987.520550040725
48,Annual,44987.520550040725
49,Annual,44987.520550040725
50,Annual,44987.520550040725
51,Annual,44987.520550040725
52,Annual,44987.520550040725
53,Annual,44987.520550040725
54,Annual,44987.520550040725
55,Annual,44987.520550040725
56,Annual,44987.520550040725
57,Annual,44987.520550040725
58,Annual,44987.520550040725
59,Annual,44987.520550040725
60,Annual,44987.520550040725
61,Annual,44987.520550040725
62,Annual,44987.520550040725
63,Annual,44987.520550040725
64,Annual,44987.520550040725
65,Annual,44987.520550040725
66,Annual,44987.520550040725
67,Annual,44987.520550040725
68,Annual,44987.520550040725
69,Annual,44987.520550040725
70,Annual,44987.520550040725
71,Annual,44987.520550040725
72,Annual,44987.520550040725
73,Annual,44987.520550040725
74,Annual,44987.520550040725
75,Annual,44987.520550040725
76,Annual,44987.520550040725
77,Annual,44987.520550040725
78,Annual,44987.520550040725
79,Annual,44987.520550040725
80,Annual,44987.520550040725
81,Annual,44987.520550040725
82,Annual,44987.520550040725
83,Annual,44987.520550040725
84,Annual,44987.520550040725
85,Annual,44987.520550040725
86,Annual,44987.520550040725
87,Annual,44987.520550040725
88,Annual,44987.520550040725
89,Annual,44987.520550040725
90,Annual,44987.520550040725
91,Annual,44987.520550040725
92,Annual,44987.520550040725
93,Annual,44987.520550040725
94,Annual,44987.520550040725
95,Annual,44987.520550040725
96,Annual,44987.520550040725
97,Annual,44987.520550040725
98,Annual,44987.520550040725
99,Annual,44987.520550040725
100,Annual,44987.520550040725
101,Annual,44987.520550040725
102,Annual,44987.520550040725
103,Annual,44987.520550040725
104,Annual,44987.520550040725
105,Annual,44987.520550040725
106,Annual,44987.520550040725
107,Annual,44987.520550040725
108,Annual,44987.520550040725
109,Annual,44987.520550040725
110,Annual,44987.520550040725
111,Annual,44987.520550040725
112,Annual,44987.520550040725
113,Annual,44987.520550040725
114,Annual,44987.520550040725
115,Annual,44987.520550040725
116,Annual,44987.520550040725
117,Annual,44987.520550040725
118,Annual,44987.520550040725
119,Annual,44987.520550040725
120,Annual,44987.520550040725
121,Annual,44987.520550040725
122,Annual,44987.520550040725
123,Annual,44987.520550040725
124,Annual,44987.520550040725
125,Annual,44987.520550040725
126,Annual,44987.520550040725
127,Annual,44987.520550040725
128,Annual,44987.520550040725
129,Annual,44987.520550040725
130,Annual,44987.520550040725
131,Annual,44987.520550040725
132,Annual,44987.520550040725
133,Annual,44987.520550040725
134,Annual,44987.520550040725
135,Annual,44987.520550040725
136,Annual,44987.520550040725
137,Annual,44987.520550040725
138,Annual,44987.520550040725
139,Annual,44987.520550040725
140,Annual,44987.520550040725
141,Annual,44987.520550040725
142,Annual,44987.520550040725
143,Annual,44987.520550040725
144,Annual,44987.520550040725
145,Annual,44987.520550040725
146,Annual,44987.520550040725
147,Annual,44987.520550040725
148,Annual,44987.520550040725
149,Annual,44987.520550040725
150,Annual,44987.520550040725
151,Annual,44987.520550040725
152,Annual,44987.520550040725
153,Annual,44987.520550040725
154,Annual,44987.520550040725
155,Annual,44987.520550040725
156,Annual,44987.520550040725
157,Annual,44987.520550040725
158,Annual,44987.520550040725
159,Annual,44987.520550040725
160,Annual,44987.520550040725
161,Annual,44987.520550040725
162,Annual,44987.520550040725
163,Annual,44987.520550040725
164,Annual,44987.520550040725
165,Annual,44987.520550040725
166,Annual,44987.520550040725
167,Annual,44987.520550040725
168,Annual,44987.520550040725
169,Annual,44987.520550040725
170,Annual,44987.520550040725
171,Annual,44987.520550040725
172,Annual,44987.520550040725
173,Annual,44987.520550040725
174,Annual,44987.520550040725
175,Annual,44987.520550040725
176,Annual,44987.520550040725
177,Annual,44987.520550040725
178,Annual,44987.520550040725
179,Annual,44987.520550040725
180,Annual,44987.520550040725
181,Annual,44987.520550040725
182,Annual,44987.520550040725
183,Annual,44987.520550040725
184,Annual,44987.520550040725
185,Annual,44987.520550040725
186,Annual,44987.520550040725
187,Annual,44987.520550040725
188,Annual,44987.520550040725
189,Annual,44987.520550040725
190,Annual,44987.520550040725
191,Annual,44987.520550040725
192,Annual,44987.520550040725
193,Annual,44987.520550040725
194,Annual,44987.520550040725
195,Annual,44987.520550040725
196,Annual,44987.520550040725
197,Annual,44987.520550040725
198,Annual,44987.520550040725
199,Annual,44987.520550040725
200,Annual,44987.520550040725
1,Perennial first-year,14995.706575885126
2,Perennial first-year,14992.061676938203
3,Perennial first-year,14857.71298113268
4,Perennial first-year,14598.000780894688
5,Perennial first-year,14435.63499228338
6,Perennial first-year,14368.23612633553
7,Perennial first-year,14342.060539633001
8,Perennial first-year,14332.001868019845
9,Perennial first-year,14328.14831686657
10,Perennial first-year,14326.673932614423
11,Perennial first-year,14326.110162892879
12,Perennial first-year,14325.894646093886
13,Perennial first-year,14325.812267498728
14,Perennial first-year,14325.780780652847
15,Perennial first-year,14325.768745913885
16,Perennial first-year,14325.764146088224
17,Perennial first-year,14325.762387982577
18,Perennial first-year,14325.761716015268
19,Perennial first-year,14325.761459182027
20,Perennial first-year,14325.761361017603
21,Perennial first-year,14325.761323498082
22,Perennial first-year,14325.761309157753
23,Perennial first-year,14325.761303676702
24,Perennial first-year,14325.76130158174
25,Perennial first-year,14325.76130078108
26,Perennial first-year,14325.761300475084
27,Perennial first-year,14325.76130035808
28,Perennial first-year,14325.761300313361
29,Perennial first-year,14325.761300296315
30,Perennial first-year,14325.76130028974
31,Perennial first-year,14325.761300287295
32,Perennial first-year,14325.761300286307
33,Perennial first-year,14325.761300285954
34,Perennial first-year,14325.761300285807
35,Perennial first-year,14325.761300285729
36,Perennial first-year,14325.761300285736
37,Perennial first-year,14325.761300285736
38,Perennial first-year,14325.761300285736
39,Perennial first-year,14325.761300285689
40,Perennial first-year,14325.761300285672
41,Perennial first-year,14325.761300285687
42,Perennial first-year,14325.761300285672
43,Perennial first-year,14325.761300285687
44,Perennial first-year,14325.761300285672
45,Perennial first-year,14325.761300285687
46,Perennial first-year,14325.761300285672
47,Perennial first-year,14325.761300285687
48,Perennial first-year,14325.761300285672
49,Perennial first-year,14325.761300285687
50,Perennial first-year,14325.761300285672
51,Perennial first-year,14325.761300285687
52,Perennial first-year,14325.761300285672
53,Perennial first-year,14325.761300285687
54,Perennial first-year,14325.761300285672
55,Perennial first-year,14325.761300285687
56,Perennial first-year,14325.761300285672
57,Perennial first-year,14325.761300285687
58,Perennial first-year,14325.761300285672
59,Perennial first-year,14325.761300285687
60,Perennial first-year,14325.761300285672
61,Perennial first-year,14325.761300285687
62,Perennial first-year,14325.761300285672
63,Perennial first-year,14325.761300285687
64,Perennial first-year,14325.761300285672
65,Perennial first-year,14325.761300285687
66,Perennial first-year,14325.761300285672
67,Perennial first-year,14325.761300285687
68,Perennial first-year,14325.761300285672
69,Perennial first-year,14325.761300285687
70,Perennial first-year,14325.761300285672
71,Perennial first-year,14325.761300285687
72,Perennial first-year,14325.761300285672
73,Perennial first-year,14325.761300285687
74,Perennial first-year,14325.761300285672
75,Perennial first-year,14325.761300285687
76,Perennial first-year,14325.761300285672
77,Perennial first-year,14325.761300285687
78,Perennial first-year,14325.761300285672
79,Perennial first-year,14325.761300285687
80,Perennial first-year,14325.761300285672
81,Perennial first-year,14325.761300285687
82,Perennial first-year,14325.761300285672
83,Perennial first-year,14325.761300285687
84,Perennial first-year,14325.761300285672
85,Perennial first-year,14325.761300285687
86,Perennial first-year,14325.761300285672
87,Perennial first-year,14325.761300285687
88,Perennial first-year,14325.761300285672
89,Perennial first-year,14325.761300285687
90,Perennial first-year,14325.761300285672
91,Perennial first-year,14325.761300285687
92,Perennial first-year,14325.761300285672
93,Perennial first-year,14325.761300285687
94,Perennial first-year,14325.761300285672
95,Perennial first-year,14325.761300285687
96,Perennial first-year,14325.761300285672
97,Perennial first-year,14325.761300285687
98,Perennial first-year,14325.761300285672
99,Perennial first-year,14325.761300285687
100,Perennial first-year,14325.761300285672
101,Perennial first-year,14325.761300285687
102,Perennial first-year,14325.761300285672
103,Perennial first-year,14325.761300285687
104,Perennial first-year,14325.761300285672
105,Perennial first-year,14325.761300285687
106,Perennial first-year,14325.761300285672
107,Perennial first-year,14325.761300285687
108,Perennial first-year,14325.761300285672
109,Perennial first-year,14325.761300285687
110,Perennial first-year,14325.761300285672
111,Perennial first-year,14325.761300285687
