time,species,N
1,Annual,0
2,Annual,0
3,Annual,0
4,Annual,0
5,Annual,0
6,Annual,0
7,Annual,0
8,Annual,0
9,Annual,0
10,Annual,0
11,Annual,0
12,Annual,0
13,Annual,0
14,Annual,0
15,Annual,0
16,Annual,0
17,Annual,0
18,Annual,0
19,Annual,0
20,Annual,0
21,Annual,0
22,Annual,0
23,Annual,0
24,Annual,0
25,Annual,0
26,Annual,0
27,Annual,0
28,Annual,0
29,Annual,0
30,Annual,0
31,Annual,0
32,Annual,0
33,Annual,0
34,Annual,0
35,Annual,0
36,Annual,0
37,Annual,0
38,Annual,0
39,Annual,0
40,Annual,0
41,Annual,0
42,Annual,0
43,Annual,0
44,Annual,0
45,Annual,0
46,Annual,0
47,Annual,0
48,Annual,0
49,Annual,0
50,Annual,0
51,Annual,0
52,Annual,0
53,Annual,0
54,Annual,0
55,Annual,0
56,Annual,0
57,Annual,0
58,Annual,0
59,Annual,0
60,Annual,0
61,Annual,0
62,Annual,0
63,Annual,0
64,Annual,0
65,Annual,0
66,Annual,0
67,Annual,0
68,Annual,0
69,Annual,0
70,Annual,0
71,Annual,0
72,Annual,0
73,Annual,0
74,Annual,0
75,Annual,0
76,Annual,0
77,Annual,0
78,Annual,0
79,Annual,0
80,Annual,0
81,Annual,0
82,Annual,0
83,Annual,0
84,Annual,0
85,Annual,0
86,Annual,0
87,Annual,0
88,Annual,0
89,Annual,0
90,Annual,0
91,Annual,0
92,Annual,0
93,Annual,0
94,Annual,0
95,Annual,0
96,Annual,0
97,Annual,0
98,Annual,0
99,Annual,0
100,Annual,0
101,Annual,0
102,Annual,0
103,Annual,0
104,Annual,0
105,Annual,0
106,Annual,0
107,Annual,0
108,Annual,0
109,Annual,0
110,Annual,0
111,Annual,0
112,Annual,0
113,Annual,0
114,Annual,0
115,Annual,0
116,Annual,0
117,Annual,0
118,Annual,0
119,Annual,0
120,Annual,0
121,Annual,0
122,Annual,0
123,Annual,0
124,Annual,0
125,Annual,0
126,Annual,0
127,Annual,0
128,Annual,0
129,Annual,0
130,Annual,0
131,Annual,0
132,Annual,0
133,Annual,0
134,Annual,0
135,Annual,0
136,Annual,0
137,Annual,0
138,Annual,0
139,Annual,0
140,Annual,0
141,Annual,0
142,Annual,0
143,Annual,0
144,Annual,0
145,Annual,0
146,Annual,0
147,Annual,0
148,Annual,0
149,Annual,0
150,Annual,0
151,Annual,0
152,Annual,0
153,Annual,0
154,Annual,0
155,Annual,0
156,Annual,0
157,Annual,0
158,Annual,0
159,Annual,0
160,Annual,0
161,Annual,0
162,Annual,0
163,Annual,0
164,Annual,0
165,Annual,0
166,Annual,0
167,Annual,0
168,Annual,0
169,Annual,0
170,Annual,0
171,Annual,0
172,Annual,0
173,Annual,0
174,Annual,0
175,Annual,0
176,Annual,0
177,Annual,0
178,Annual,0
179,Annual,0
180,Annual,0
181,Annual,0
182,Annual,0
183,Annual,0
184,Annual,0
185,Annual,0
186,Annual,0
187,Annual,0
188,Annual,0
189,Annual,0
190,Annual,0
191,Annual,0
192,Annual,0
193,Annual,0
194,Annual,0
195,Annual,0
196,Annual,0
197,Annual,0
198,Annual,0
199,Annual,0
200,Annual,0
1,Perennial first-year,10
2,Perennial first-year,17.184682794290158
3,Perennial first-year,1258.2218387566468
4,Perennial first-year,11118.34872032436
5,Perennial first-year,14838.319665110153
6,Perennial first-year,15052.710688235467
7,Perennial first-year,15026.543855260326
8,Perennial first-year,15008.31063517028
9,Perennial first-year,15000.620957418694
